100 0.00376
200 0.00563
300 0.000844
400 0.00195
500 0.00201
600 0.00313
700 0.00918
800 0.00387
900 0.00757
1000 0.0755
1100 0.0123
1200 0.0533
1300 0.0528
1400 0.00315
1500 0.0594
1600 0.0422
1700 0.0545
1800 0.0616
1900 0.0271
2000 0.0517
2100 0.0543
2200 0.111
2300 0.0116
2400 0.02
2500 0.0659
2600 0.0134
2700 0.00587
2800 0.00526
2900 0.00149
3000 0.00393
3100 0.011
3200 0.0149
3300 0.0173
3400 0.0269
3500 0.022
3600 0.0174
3700 0.0149
3800 0.0183
3900 0.041
4000 0.047
4100 0.0243
4200 0.0281
4300 0.0312
4400 0.0225
4500 0.0173
4600 0.011
4700 0.00671
4800 0.00466
4900 0.00291
5000 0.0016
5100 0.000778
5200 0.000349
5300 0.000189
5400 0.000144
5500 0.000134
5600 0.000136
5700 0.000175
5800 0.000387
5900 0.00116
6000 0.00292
6100 0.00513
6200 0.00596
6300 0.00465
6400 0.00268
6500 0.00143
6600 0.000809
6700 0.00042
6800 0.000169
6900 4.93e-05
7000 1.04e-05
7100 2.04e-06
7200 1.81e-06
7300 4.59e-06
7400 1.05e-05
7500 2e-05
7600 3.14e-05
7700 4.08e-05
7800 4.38e-05
7900 3.89e-05
8000 2.85e-05
8100 1.73e-05
8200 8.7e-06
8300 3.61e-06
8400 1.24e-06
8500 3.51e-07
8600 8.25e-08
8700 1.6e-08
8800 2.57e-09
8900 3.4e-10
9000 3.73e-11
9100 3.38e-12
9200 2.54e-13
9300 1.57e-14
9400 8.05e-16
9500 3.41e-17
9600 1.2e-18
9700 3.46e-20
9800 8.3e-22
9900 1.64e-23
10000 2.69e-25
10100 3.64e-27
10200 4.08e-29
10300 3.78e-31
10400 2.89e-33
10500 1.83e-35
10600 9.57e-38
10700 4.14e-40
10800 1.47977e-42
10900 4.2039e-45
11000 0
